  x              y              exact          interp         lsq            interp_error   lsq_error    
  -0.0000000000  -0.4330127019   0.5669872981   0.5669872981   0.5739711765   0.0000000000   0.0069838784
   0.1250000000  -0.2165063509   0.7500000000   0.7500000000   0.7602146956   0.0000000000   0.0102146956
  -0.2500000000  -0.8660254038   0.0986121811   0.0986121811   0.1020896934   0.0000000000   0.0034775123
  -0.1250000000  -0.6495190528   0.3385621722   0.3385621722   0.3427465900   0.0000000000   0.0041844178
   0.1250000000  -0.6495190528   0.3385621722   0.3385621722   0.3434347984   0.0000000000   0.0048726262
   0.2500000000  -0.8660254038   0.0986121811   0.0986121811   0.1018357894   0.0000000000   0.0032236082
   0.3750000000  -0.6495190528   0.2500000000   0.2500000000   0.2533067952   0.0000000000   0.0033067952
   0.3750000000  -0.2165063509   0.5669872981   0.5669872981   0.5739711765   0.0000000000   0.0069838784
   0.6250000000  -0.6495190528   0.0986121811   0.0986121811   0.1020896934   0.0000000000   0.0034775123
   0.5000000000  -0.4330127019   0.3385621722   0.3385621722   0.3427465900   0.0000000000   0.0041844178
   0.6250000000  -0.2165063509   0.3385621722   0.3385621722   0.3434347984   0.0000000000   0.0048726262
   0.8750000000  -0.2165063509   0.0986121811   0.0986121811   0.1018357894   0.0000000000   0.0032236082
   0.2204550604   0.0266995051   0.7779340251   0.7641299731   0.7777856394   0.0138040519   0.0001483857
   0.0292507618   0.0356779896   0.9538640486   0.9501505413   0.9554066911   0.0037135073   0.0015426424
   0.0951632275   0.1510278163   0.8214910613   0.8176408220   0.8232490988   0.0038502393   0.0017580374
   0.0914353867   0.1359270437   0.8361812247   0.8300870980   0.8358596314   0.0060941266   0.0003215932
   0.1410271361   0.0205171819   0.8574882185   0.8471272634   0.8575065402   0.0103609551   0.0000183217
   0.2329965380   0.0054790470   0.7669390494   0.7638401327   0.7784897630   0.0030989167   0.0115507136
   0.1080666857   0.0466107295   0.8823098617   0.8650225971   0.8734268625   0.0172872646   0.0088829992
   0.1541931756   0.1219882352   0.8033870174   0.7753768840   0.7841423671   0.0280101334   0.0192446503
   0.1719422719   0.1147838054   0.7932647421   0.7617872672   0.7714692643   0.0314774750   0.0217954778
   0.2233339277   0.0100179118   0.7764415025   0.7708822282   0.7850196641   0.0055592743   0.0085781617
   0.3700033503   0.1809527214   0.5881185042   0.5815105142   0.5881187211   0.0066079900   0.0000002169
   0.3487268495   0.0902577069   0.6397821920   0.6270886708   0.6330677449   0.0126935212   0.0067144471
   0.3024712353   0.0648299729   0.6906591305   0.6801576258   0.6857837116   0.0105015046   0.0048754189
   0.3390632999   0.0900559205   0.6491809724   0.6368062890   0.6427418134   0.0123746834   0.0064391590
   0.4080063310   0.0608310728   0.5874838360   0.5756940322   0.5817590724   0.0117898038   0.0057247636
   0.3950561017   0.1348344448   0.5825677888   0.5688151178   0.5752606451   0.0137526710   0.0073071437
   0.3747146417   0.1765465614   0.5857781380   0.5779798498   0.5845826734   0.0077982881   0.0011954646
   0.3742764213   0.1796913753   0.5848231342   0.5775754198   0.5841949038   0.0072477144   0.0006282304
   0.4158645977   0.1402609270   0.5611190466   0.5465526002   0.5531213980   0.0145664464   0.0079976486
   0.4637032735   0.0200448253   0.5358636828   0.5309257317   0.5369939166   0.0049379511   0.0011302338
   0.2237320954   0.2565342755   0.6596092172   0.6484206153   0.6542922768   0.0111886019   0.0053169404
   0.2833617337   0.3043024572   0.5841949284   0.5697999544   0.5762611784   0.0143949739   0.0079337500
   0.2346519459   0.3056072084   0.6146984279   0.6045028499   0.6095173509   0.0101955780   0.0051810769
   0.2821168563   0.3216873240   0.5721300957   0.5579846622   0.5639936290   0.0141454335   0.0081364667
   0.2381215317   0.3811609705   0.5505719754   0.5466537442   0.5499608020   0.0039182313   0.0006111735
   0.1477997013   0.2449491987   0.7139145903   0.7124878506   0.7164302055   0.0014267397   0.0025156153
   0.2566401902   0.2565491876   0.6371203053   0.6243193016   0.6311469080   0.0128010037   0.0059733972
   0.1404983027   0.2240238912   0.7355638510   0.7331512335   0.7373822281   0.0024126174   0.0018183771
   0.2994093731   0.2863925513   0.5856732375   0.5711632282   0.5785194403   0.0145100093   0.0071537972
   0.2993467669   0.2186411660   0.6293081517   0.6208065153   0.6297824383   0.0085016364   0.0004742866
   0.2690865594   0.1081311697   0.7100001271   0.6903260591   0.7030728065   0.0196740680   0.0069273206
   0.1521741339   0.1932477374   0.7540291582   0.7399374001   0.7558639220   0.0140917581   0.0018347638
   0.2313412702   0.0686438053   0.7586895043   0.7346468523   0.7492128025   0.0240426520   0.0094767018
   0.1991385837   0.2139403888   0.7077215960   0.6968112932   0.7108108799   0.0109103028   0.0030892839
   0.1456496690   0.2112201911   0.7434307205   0.7371175872   0.7530650637   0.0063131333   0.0096343432
   0.2759184268   0.1386369359   0.6912101390   0.6724315311   0.6845725377   0.0187786079   0.0066376013
   0.2862528899   0.1898735233   0.6564993860   0.6432110492   0.6543755051   0.0132883368   0.0021238809
   0.2213483589   0.0622570253   0.7700629799   0.7446615420   0.7596609786   0.0254014379   0.0104020013
   0.2017596795   0.1921101700   0.7214083890   0.7041190539   0.7182831439   0.0172893351   0.0031252451
   0.2082060347   0.1442637870   0.7466982172   0.7196222553   0.7341217688   0.0270759620   0.0125764484
   0.6662067138   0.0633421654   0.3307888110   0.3231328557   0.3271035094   0.0076559554   0.0036853016
   0.6038229906   0.0865106069   0.3900112385   0.3816173506   0.3856344932   0.0083938879   0.0043767453
   0.5566612264   0.0039965724   0.4433244270   0.4426661540   0.4460853305   0.0006582730   0.0027609035
   0.5452798073   0.0528430654   0.4521656657   0.4458267514   0.4495368186   0.0063389143   0.0026288471
   0.5567226170   0.0124113441   0.4431390535   0.4411885648   0.4446610992   0.0019504888   0.0015220456
   0.5643281309   0.0574735762   0.4327527423   0.4259991169   0.4297690718   0.0067536254   0.0029836705
   0.5773094450   0.0197752919   0.4223519606   0.4193623909   0.4229145835   0.0029895697   0.0005626229
   0.6563756753   0.0157133952   0.3434362651   0.3409797741   0.3446331902   0.0024564910   0.0011969251
   0.6156264519   0.0425894260   0.3829021249   0.3772057853   0.3809638884   0.0056963396   0.0019382365
   0.7073286007   0.0186717750   0.2924249972   0.2895289560   0.2932828959   0.0028960412   0.0008578987
   0.9519422230   0.0681358612   0.0456224586   0.0397533704   0.0427155256   0.0058690882   0.0029069331
   0.8911931771   0.0382786769   0.1079851256   0.1041414133   0.1068943836   0.0038437123   0.0010907421
   0.9216337632   0.0871309955   0.0742567290   0.0677467011   0.0707843150   0.0065100279   0.0034724139
   0.8195885189   0.0043959731   0.1803996920   0.1798756994   0.1823890541   0.0005239926   0.0019893622
   0.8797702379   0.0238836925   0.1199056287   0.1173188149   0.1199858610   0.0025868139   0.0000802323
   0.9717794932   0.0122247457   0.0281436177   0.0267305534   0.0294126267   0.0014130643   0.0012690090
   0.8830170348   0.0919724522   0.1122060961   0.1057733522   0.1088043840   0.0064327440   0.0034017121
   0.8393215543   0.1396469077   0.1491404756   0.1436582646   0.1469057380   0.0054822110   0.0022347375
   0.8318778865   0.1124373717   0.1605579350   0.1544182338   0.1575151156   0.0061397012   0.0030428193
   0.8325200824   0.1413596568   0.1555639514   0.1502509864   0.1535018638   0.0053129650   0.0020620876
   0.7433661553   0.3989103399   0.1563634076   0.1536692622   0.1564078722   0.0026941453   0.0000444647
   0.7477861097   0.2705786945   0.2047661377   0.1995801225   0.2023537166   0.0051860152   0.0024124211
   0.7287403940   0.2687524797   0.2232822539   0.2185739005   0.2212002963   0.0047083533   0.0020819575
   0.7802713929   0.3263273458   0.1542382231   0.1466136870   0.1496380128   0.0076245361   0.0046002103
   0.7308892490   0.2993677288   0.2101771519   0.2045467217   0.2071895308   0.0056304302   0.0029876211
   0.7417775887   0.3865249689   0.1635578067   0.1600342800   0.1627606907   0.0035235267   0.0007971160
   0.7601477025   0.2982866489   0.1834221075   0.1768869546   0.1797559179   0.0065351529   0.0036661896
   0.7002017969   0.2249435757   0.2645530824   0.2630861488   0.2654922416   0.0014669336   0.0009391592
   0.7808517172   0.2939724187   0.1656444480   0.1587012810   0.1617302993   0.0069431669   0.0039141486
   0.6887986573   0.2256321504   0.2751872948   0.2737617808   0.2760797310   0.0014255140   0.0008924361
   0.7232570145   0.0610486376   0.2741710635   0.2668103932   0.2717119089   0.0073606703   0.0024591546
   0.7075105851   0.0870004972   0.2871603865   0.2781584702   0.2830262870   0.0090019163   0.0041340995
   0.7454740728   0.0129528854   0.2544134052   0.2524646556   0.2574770121   0.0019487495   0.0030636069
   0.7851561794   0.1192816833   0.2058348119   0.1989505667   0.2031009954   0.0068842452   0.0027338165
   0.7054132337   0.1897627051   0.2695085801   0.2652617787   0.2695775734   0.0042468014   0.0000689933
   0.6527702890   0.2038124446   0.3161516522   0.3137500039   0.3183540426   0.0024016484   0.0022023903
   0.7593173352   0.1027688452   0.2337596649   0.2261465297   0.2305675058   0.0076131352   0.0031921591
   0.7794414951   0.0881747863   0.2155869474   0.2089488082   0.2133104485   0.0066381391   0.0022764988
   0.6548141028   0.1984193336   0.3157838491   0.3125708358   0.3171904118   0.0032130133   0.0014065627
   0.7687290537   0.1787445103   0.2107636868   0.2060898825   0.2100265743   0.0046738043   0.0007371126
   0.3186161046   0.5182471397   0.3916445776   0.3890483124   0.3916037895   0.0025962652   0.0000407881
   0.3891014022   0.5737076954   0.3067897714   0.3001690702   0.3031739487   0.0066207012   0.0036158227
   0.3690168096   0.6281258995   0.2714977341   0.2705904429   0.2723208689   0.0009072912   0.0008231348
   0.3622881185   0.5157736730   0.3697023222   0.3627809960   0.3662162863   0.0069213262   0.0034860359
   0.4361827975   0.4826339175   0.3494687316   0.3409745845   0.3463712472   0.0084941471   0.0030974844
   0.3667857349   0.6090028916   0.2890736344   0.2869829802   0.2889827134   0.0020906541   0.0000909210
   0.4702317779   0.4565342903   0.3446058566   0.3393940789   0.3458712947   0.0052117778   0.0012654381
   0.4586283127   0.4975295951   0.3233349224   0.3148337931   0.3204187094   0.0085011293   0.0029162130
   0.4287340771   0.4613569993   0.3701879727   0.3624205139   0.3680213573   0.0077674589   0.0021666154
   0.3975017291   0.5787240187   0.2979108928   0.2908224060   0.2939068561   0.0070884867   0.0040040366
   0.5472692105   0.4616368133   0.2840306318   0.2816799957   0.2837089299   0.0023506361   0.0003217020
   0.6487482905   0.5095191146   0.1750854150   0.1681906686   0.1712313949   0.0068947465   0.0038540201
   0.6616626165   0.4862394816   0.1788871871   0.1724235741   0.1758121612   0.0064636130   0.0030750259
   0.7158651432   0.4511927567   0.1538098282   0.1503498648   0.1547310632   0.0034599634   0.0009212350
   0.5935369609   0.4531093942   0.2532776641   0.2492385589   0.2519552527   0.0040391051   0.0013224114
   0.5931727974   0.5697811161   0.1775010712   0.1753559018   0.1771974110   0.0021451694   0.0003036603
   0.6737332456   0.5632741295   0.1218233485   0.1135664207   0.1165432275   0.0082569278   0.0052801211
   0.6958927993   0.5091734466   0.1377213984   0.1298297235   0.1335090081   0.0078916749   0.0042123904
   0.5148500315   0.4455390189   0.3191361573   0.3184453273   0.3201570024   0.0006908300   0.0010208451
   0.5770457817   0.4770759560   0.2512788891   0.2474960182   0.2498114757   0.0037828709   0.0014674134
   0.5063942291   0.8070034611   0.0472724936   0.0436456676   0.0455286443   0.0036268260   0.0017438492
   0.5166565065   0.6663995969   0.1567785768   0.1506294431   0.1543647027   0.0061491337   0.0024138741
   0.4848349448   0.6515276328   0.1878712048   0.1818722308   0.1853389029   0.0059989740   0.0025323019
   0.5263688986   0.7319989466   0.0983977178   0.0919350165   0.0950107681   0.0064627013   0.0033869497
   0.4749334025   0.6760114141   0.1738322393   0.1681565888   0.1711861744   0.0056756505   0.0026460649
   0.4353081867   0.7332405687   0.1472779181   0.1460773350   0.1478526187   0.0012005831   0.0005747006
   0.5793093521   0.6620829439   0.1202539287   0.1161652067   0.1208372775   0.0040887220   0.0005833488
   0.4418865738   0.7482775127   0.1309873533   0.1299877610   0.1316733024   0.0009995923   0.0006859491
   0.4618050859   0.6951776343   0.1654127484   0.1606760146   0.1632875392   0.0047367337   0.0021252092
   0.5352544836   0.7502037946   0.0784235812   0.0718978828   0.0748779905   0.0065256984   0.0035455907
   0.5491537037   0.5937272372   0.1912467481   0.1868683754   0.1902175778   0.0043783727   0.0010291702
   0.5634546956   0.5467515657   0.2148767812   0.2138472524   0.2170491733   0.0010295288   0.0021723921
   0.5736073352   0.5737313460   0.1887090335   0.1872306573   0.1903195240   0.0014783762   0.0016104905
   0.5110107450   0.4856908028   0.2949982004   0.2919294993   0.2957043808   0.0030687011   0.0007061803
   0.5551503739   0.5771255571   0.1992092369   0.1958322200   0.1991192286   0.0033770168   0.0000900082
   0.5069435585   0.5518601996   0.2506393049   0.2441918950   0.2480012267   0.0064474099   0.0026380782
   0.4648837538   0.5819277277   0.2551800320   0.2468500418   0.2511077553   0.0083299902   0.0040722766
   0.4804028429   0.6142377028   0.2202084593   0.2129399469   0.2170261059   0.0072685124   0.0031823533
   0.4600079353   0.6465690644   0.2064895366   0.2007613933   0.2050624742   0.0057281433   0.0014270624
   0.5200651890   0.6358613492   0.1785455240   0.1725172299   0.1761735278   0.0060282941   0.0023719962
   0.5808531523   0.1934160216   0.3877907694   0.3839357277   0.3889649548   0.0038550417   0.0011741854
   0.5349020273   0.1106358657   0.4537761690   0.4439776454   0.4502870765   0.0097985236   0.0034890924
   0.4644793501   0.1579831880   0.5093883874   0.4979952863   0.5049573767   0.0113931011   0.0044310107
   0.5376506749   0.1069412200   0.4518169350   0.4422720962   0.4485699324   0.0095448388   0.0032470027
   0.5210268767   0.1924523956   0.4445659978   0.4388092160   0.4447024433   0.0057567818   0.0001364455
   0.4791591079   0.1428090290   0.5000121308   0.4878922349   0.4947581441   0.0121198959   0.0052539867
   0.5141189198   0.1783803622   0.4558145377   0.4481904701   0.4542883854   0.0076240676   0.0015261523
   0.4324559669   0.1176284681   0.5518319291   0.5360574069   0.5437813896   0.0157745222   0.0080505395
   0.4935642036   0.0961626790   0.4971552089   0.4849049873   0.4919151834   0.0122502216   0.0052400255
   0.5707166328   0.1489199696   0.4101740661   0.4029031344   0.4084119422   0.0072709316   0.0017621239
   0.6112087852   0.3375409838   0.3017807688   0.2926624070   0.2975330974   0.0091183618   0.0042476713
   0.6323228103   0.2645435873   0.3145691531   0.3098731661   0.3147732608   0.0046959869   0.0002041077
   0.6674349248   0.2940362300   0.2706669599   0.2672046269   0.2715202535   0.0034623329   0.0008532936
   0.6756550928   0.4017573089   0.2139219252   0.2095821582   0.2133377601   0.0043397670   0.0005841650
   0.5875837878   0.3991278311   0.2896777258   0.2828976993   0.2878198270   0.0067800265   0.0018578988
   0.5590949384   0.4126381138   0.3051206125   0.2998282902   0.3050674776   0.0052923223   0.0000531349
   0.6242210919   0.3850144920   0.2665914300   0.2595837470   0.2640844394   0.0070076829   0.0025069906
   0.6904895780   0.3585943585   0.2219474495   0.2178357577   0.2215779160   0.0041116918   0.0003695336
   0.6423690018   0.3675225023   0.2599251902   0.2529969232   0.2573329420   0.0069282670   0.0025922481
   0.6356973525   0.3824089110   0.2581457696   0.2514232169   0.2557842791   0.0067225527   0.0023614905
